Period,Repo rate,Corp Mortgage Flex rate balance,Corp Mortgage Fixed rate balance,Corp flex%,Corp fix%,Corp Mortgage Flex rate,Corp Mortgage Fix rate,HH Mortgage Flex rate balance,HH Mortgage Fix rate Balance,HH flex%,HH fix%,HH Mortgage Flex rate,HH Mortgage Fix rate,HH New Mortgage Flex balance,HH New Mortgage Fix balance,HH new flex%,HH New Mortgage Flex rate,HH New Mortgage Fix rate
15-May,5.75,234761.2938,60799.85301,79.42901032,20.57098968,7.84,9.07,774922.651,12593.51967,98.40085574,1.599144264,8.66,10.33,0,0,DivZero,8.88,12.61
15-Jun,5.75,237775.5609,60751.35591,79.64962203,20.35037797,7.86,9.05,777208.099,12328.15437,98.43855753,1.561442469,8.67,10.35,5866.527,2.321,99.9604522,8.68,8.1
15-Jul,6,241500.2666,61047.53153,79.82218614,20.17781386,8.08,9.05,778993.8517,12153.51319,98.46381171,1.536188292,8.86,10.4,4102.37,0,100,9.12,0
15-Aug,6,244666.5831,60783.36921,80.10038347,19.89961653,8.12,9.09,782785.4436,12050.38633,98.48391506,1.516084942,8.93,10.46,5225.552,0,100,8.78,0
15-Sep,6,250459.0945,62597.48604,80.00441775,19.99558225,8.12,9.13,786414.7829,12048.3031,98.49106323,1.50893677,8.84,10.45,6904.735,2.171,99.96856769,8.74,9.46
15-Oct,6,251427.9385,62751.04793,80.02697487,19.97302513,8.14,9.13,788669.3105,11978.74203,98.50386921,1.49613079,8.95,10.47,5871.503,3.574,99.93916675,8.76,8.6
15-Nov,6.25,253882.3849,61901.02764,80.39763167,19.60236833,8.35,9.13,794704.0392,12024.04788,98.50952904,1.490470962,9.16,10.48,5477.98,12.84,99.76615515,9.2,10.39
15-Dec,6.25,255860.8222,63961.23846,80.00099232,19.99900768,8.39,9.1,795184.0133,10421.81231,98.70633851,1.293661488,9.21,10.38,7165.349,29.976,99.58339616,9.23,12.69
16-Jan,6.75,256110.1411,63888.5654,80.03474261,19.96525739,8.82,9.13,788320.698,19850.05961,97.54382853,2.456171474,9.48,10.83,2465.362,0,100,9.7,0
16-Feb,6.75,261026.9796,63877.23911,80.33967076,19.66032924,8.85,9.26,804256.434,10567.58152,98.70308419,1.296915815,9.72,10.48,5675.588,93.377,98.38139077,9.66,9.98
16-Mar,7,262739.9246,65436.96222,80.06045981,19.93954019,9.06,9.35,804365.7498,10749.99244,98.68116982,1.318830184,9.93,10.43,6241.44,93.68,98.52125927,9.94,9.99
16-Apr,7,264813.596,67277.9855,79.7411349,20.2588651,9.1,9.43,804878.2667,10858.50511,98.66887144,1.331128555,10.03,10.56,4318.65,0.5,99.98842365,10.05,11.73
16-May,7,268067.8328,66399.1246,80.14777749,19.85222251,9.13,9.63,807042.2928,10941.58789,98.66237121,1.337628791,9.98,10.57,4250.09,0.9,99.97882846,10.09,11.06
16-Jun,7,269559.0848,69354.90261,79.53613448,20.46386552,9.09,9.66,809049.3249,10975.35197,98.66158272,1.338417279,10.01,10.6,4815.26,17.1,99.64613564,10.13,11.71
16-Jul,7,269407.3953,69015.65625,79.60669171,20.39330829,9.1,9.54,813104.7747,11012.3919,98.66373468,1.336265321,10.02,10.46,5255.554734,245.86,95.53096773,10.1,10.9
16-Aug,7,271842.479,68679.43032,79.83112733,20.16887267,9.06,9.68,817175.9844,11300.49382,98.63599099,1.364009012,10.04,10.65,5935.821249,11.829,99.80111473,10.13,10.13
